reaction_name,type,order,k_value,k_units,C0_mol_L,t_rxn_s,T_C,solvent,delta_H_kJ_mol,notes,reaction_scheme
Grignard addition,Nucleophilic addition,2,0.5,L/(mol·s),1.0,2.0,25,THF,-80.0,Typical Grignard – fast and exothermic,R-MgBr + R'C(=O)R'' → R'R''(R)C-OMgBr → R'R''(R)C-OH
Suzuki coupling,Cross-coupling,pseudo-1,0.005,1/s,0.1,139.0,80,DMF/H2O,-50.0,Pd-catalyzed; moderate rate at reflux,Ar-X + Ar'-B(OH)₂ —[Pd]→ Ar-Ar' + X-B(OH)₂
Amide bond formation (EDC),Coupling,2,0.02,L/(mol·s),0.2,250.0,25,DCM,-30.0,Standard peptide coupling,R-COOH + H₂N-R' —[EDC/HOBt]→ R-C(=O)-NH-R' + Urea
Buchwald–Hartwig amination,Cross-coupling,pseudo-1,0.002,1/s,0.05,347.0,100,Toluene,-45.0,Pd/ligand catalyzed C–N coupling,Ar-X + HN(R)R' —[Pd/Ligand/Base]→ Ar-N(R)R' + HX
Diazotization,Electrophilic,2,50.0,L/(mol·s),0.5,0.04,0,Water/HCl,-65.0,Very fast – highly mixing-sensitive,Ar-NH₂ + NaNO₂ + HCl → [Ar-N≡N]⁺ Cl⁻ + NaCl + H₂O
Nitration (aromatic),Electrophilic substitution,2,5.0,L/(mol·s),2.0,0.1,5,H2SO4/HNO3,-150.0,Fast exothermic – mixing-sensitive,Ar-H + HNO₃ —[H₂SO₄]→ Ar-NO₂ + H₂O
Hydrogenation (Pd/C),Heterogeneous,pseudo-1,0.01,1/s,0.3,69.0,25,MeOH,-120.0,Gas–liquid–solid system,R₁C=CR₂ + H₂ —[Pd/C]→ R₁CH-CHR₂
Ester hydrolysis (base),Nucleophilic acyl sub.,2,0.1,L/(mol·s),0.5,20.0,25,Water/THF,-10.0,Moderate rate,R-C(=O)-OR' + NaOH → R-COO⁻ Na⁺ + R'-OH
Curtius rearrangement,Rearrangement,1,0.001,1/s,0.2,693.0,80,Toluene,-60.0,Slow thermal rearrangement,R-C(=O)-N₃ —[Δ]→ R-N=C=O + N₂ → R-NH₂ (+ CO₂)
Aldol condensation,Addition,2,0.3,L/(mol·s),0.8,4.2,−20,THF,-25.0,Low-temp enolate chemistry,R-CH₂-C(=O)-R' —[Base]→ R-CH=C(OH)-R' + R''-CHO → β-hydroxy ketone
Crystallization (anti-solvent),Phase change,,0.0,,0.0,5.0,25,Various,0.0,Mixing-sensitive nucleation event,Solute (dissolved) + Anti-solvent → Supersaturation → Nucleation → Crystal Growth
Bromination (electrophilic),Electrophilic addition,2,8.0,L/(mol·s),1.0,0.125,25,DCM,-100.0,Fast – selectivity depends on mixing,Ar-H + Br₂ —[cat.]→ Ar-Br + HBr
Hydrogenation (Pd/C) TAK-279,Heterogeneous,pseudo-1,0.01,1/s,0.3,69.0,30,MeOH,-10.0,Gas–liquid–solid system,Substrate + H₂ —[Pd/C]→ Reduced product
val - Villermaux-Dushman (Iodide-Iodate),Parallel competing,2,0.0,,0.032,0.01,25,Water,-10.0,Micromixing benchmark. Competing neutralisation (quasi-instantaneous) vs Dushman (fast). I2 selectivity indicates micromixing quality. Ref: Fournier et al. (1996) Chem. Eng. Sci. 51:5053-5064; Guichardon & Falk (2000) Chem. Eng. Sci. 55:4233-4243.,H2BO3- + H+ -> H3BO3 (instant) || IO3- + 5I- + 6H+ -> 3I2 + 3H2O (fast)
val - Bourne 4th (1-Naphthol Diazo Coupling),Parallel competing,2,7300.0,L/(mol*s),0.002,0.068,25,Water (pH 10 buffer),-20.0,Micromixing test reaction. k1=7300 L/(mol*s) (monoazo p-R) and k2=3.5 L/(mol*s) (bisazo S). Selectivity Xs=S/(S+R/2) measures micromixing. Ref: Bourne & Yu (1994) Ind. Eng. Chem. Res. 33:41-55; Baldyga & Bourne (1999) Turbulent Mixing and Chemical Reactions Wiley.,1-Naphthol + ArN2+ -> R (monoazo fast) || R + ArN2+ -> S (bisazo slow)
val - Acid-Base Neutralization (HCl-NaOH),Proton transfer,2,140000000000.0,L/(mol*s),1.0,7.14e-12,25,Water,-57.1,Diffusion-controlled proton transfer. Used for mixing time measurement via pH or conductivity. Ref: Eigen (1964) Angew. Chem. Int. Ed. 3:1-19.,HCl + NaOH -> NaCl + H2O
val - Ethyl Acetate Saponification,Nucleophilic acyl sub.,2,0.111,L/(mol*s),0.1,90.1,25,Water,-12.0,Slow well-characterized reaction. NOT mixing-sensitive at any practical scale. Classic kinetics benchmark. Ref: Fogler (2016) Elements of Chemical Reaction Engineering 5th Ed. Pearson Ch.5.,CH3COOC2H5 + NaOH -> CH3COO- Na+ + C2H5OH
